n,Jc,nu,alpha,eta,delta
0.745,0.0035912227630615235,0.12810697368350393,1.8718930263164961,0.6263582809083369,12.462478001024655
0.75,0.006399810791015625,0.120106385262186,1.879893614737814,0.6227675292279463,13.369277653397889
0.7633333333333333,0.013721588134765626,0.11106473609257705,1.888935263907423,0.6133552617926781,14.679515292097639
0.7766666666666666,0.020860321044921876,0.10674594490349006,1.89325405509651,0.6041249191016407,15.50678852150917
0.79,0.028182098388671875,0.10388991582252026,1.8961100841774798,0.5945701662624978,16.189129302698074
0.8033333333333333,0.035320831298828126,0.10189290421259971,1.8981070957874002,0.5852217659146757,16.770097546468527
0.8166666666666667,0.04245956420898438,0.10035149872590812,1.8996485012740918,0.575824232510963,17.305581605257455
0.83,0.04959829711914063,0.09911126026564,1.90088873973436,0.5663817455549556,17.81425865799586
0.8433333333333333,0.05673703002929688,0.09808384094944803,1.901916159050552,0.5568989678787779,18.307376899613473
0.8566666666666667,0.06387576293945313,0.09721421669059284,1.902785783309407,0.5473810638925907,18.79232218023811
0.87,0.07101449584960938,0.09646592437975966,1.9035340756202404,0.5378337133343702,19.27427485732549
0.8785714285714286,0.07559060668945312,0.09603873595617217,1.903961264043828,0.53170710752431,19.583084548515806
0.8833333333333333,0.07797018432617188,0.09583944656778125,1.9041605534322188,0.5285974753393035,19.739248672783514
0.8966666666666666,0.08510891723632813,0.09526298978721334,1.9047370102127867,0.5190196568569116,20.225160944320656
0.9099999999999999,0.09224765014648438,0.09475098942262772,1.9052490105773723,0.509432442470513,20.717132676361853
0.9233333333333333,0.09920333862304688,0.09431409311004511,1.905685906889955,0.5002047490681494,21.197058393329797
0.9366666666666666,0.10634207153320313,0.09390091078525716,1.906099089214743,0.4906311787739003,21.705762757171644
0.9571428571428572,0.11714169311523437,0.09335827011130829,1.9066417298886917,0.47630262063292594,22.48869389876241
1.0357142857142856,0.15869277954101563,0.09185257184358804,1.908147428156412,0.42219583748353795,25.78663849445377
1.1142857142857143,0.2006099548339844,0.09092163157443245,1.9090783684255674,0.37041775491964535,29.69210477282546
1.1928571428571428,0.24380844116210937,0.09029339339924555,1.9097066066007544,0.3205096490468299,34.55436500019826
1.2714285714285714,0.2884712829589844,0.08987148460096542,1.9101285153990346,0.27372149882793617,40.65080728323606
1.35,0.33514761352539063,0.08958617650448471,1.9104138234955153,0.2304267656191049,48.442447201615664
1.4285714285714284,0.3847526550292969,0.08938014281219958,1.9106198571878004,0.19030538143968923,58.79059916829213
1.5071428571428571,0.4382016296386719,0.0892206773295143,1.9107793226704857,0.15349511454500386,73.01968024137855
1.5857142857142856,0.4965928039550781,0.08908651163218527,1.9109134883678147,0.12031798908283164,93.29480937151021
1.6642857142857141,0.5619396667480469,0.08894304843797188,1.9110569515620281,0.09054715410313574,124.16900031085736
1.7428571428571427,0.6375370178222656,0.0887489414450693,1.9112510585549307,0.0640758399555188,175.85005575012786
1.8,0.7025177917480468,0.08853602130189017,1.9114639786981098,0.046805749452140666,241.31304233995027
1.8133333333333335,0.7193578796386719,0.08847375941038099,1.911526240589619,0.04304097823213904,262.6052383571361
1.8266666666666667,0.7371131896972656,0.08840246223775534,1.9115975377622447,0.03933054155386606,287.61114576828385
1.8214285714285712,0.7299744567871094,0.08843274648507356,1.9115672535149264,0.04080079358496047,277.15216562110567
1.84,0.7557837219238281,0.08832397448359113,1.911676025516409,0.03572853360133499,316.88829986112347
1.8533333333333333,0.7753694763183594,0.08824008781595905,1.911759912184041,0.032278868464016064,351.0878225331823
1.8666666666666667,0.7964195861816407,0.0881409622571754,1.9118590377428246,0.028859291974235424,393.13032053303823
1.8800000000000001,0.8189340515136718,0.08802982092686404,1.911970179073136,0.02555148321001688,444.5842431903757
1.8933333333333333,0.8432789611816406,0.08790282503360866,1.9120971749663913,0.022341383278355442,509.1984911674551
1.9,0.8562751159667968,0.08783213165481549,1.9121678683451846,0.020772134824959765,548.1071206184076
1.9066666666666667,0.8700034484863282,0.0877542147551691,1.912245785244831,0.019210609778971266,593.1859627077835
1.92,0.8996566467285156,0.087580399831178,1.912419600168822,0.016183120204344648,705.5549067288706
1.9333333333333333,0.9331537780761718,0.08737424651241013,1.91262575348759,0.013267627647644664,862.6274656979111
1.9466666666666668,0.9723252868652343,0.08711932722656784,1.9128806727734322,0.010439952207847658,1099.4790955144397
1.96,1.0200998840332032,0.08679351198328009,1.9132064880167199,0.007715289244436985,1493.3462847662724
1.9733333333333334,1.0827010803222656,0.08635189220535718,1.9136481077946428,0.005112468824157279,2265.1526188084035
1.98,1.124252166748047,0.08605455966782186,1.913945440332178,0.0038567727278977504,3013.0203561486865
1.9833333333333334,1.1493292541503906,0.08587556893127114,1.9141244310687289,0.0032443849824347337,3589.2027366658276
1.9866666666666666,1.178982452392578,0.08566474622064356,1.9143352537793565,0.002637398562664761,4426.108972231637
1.99,1.2152252502441405,0.08541044702568222,1.9145895529743178,0.0020411263961566117,5736.131593421011
